# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
   11.712978 |   2)     dd-127     |               |                                                        __filemap_get_folio_mpol() {
   11.712978 |   2)     dd-127     |               |                                                          filemap_get_entry() {
   11.712978 |   2)     dd-127     |   0.125 us    |                                                            __rcu_read_lock();
   11.712978 |   2)     dd-127     |   0.127 us    |                                                            __rcu_read_unlock();
   11.712979 |   2)     dd-127     |   0.701 us    |                                                          } /* filemap_get_entry */
   11.712979 |   2)     dd-127     |   0.990 us    |                                                        } /* __filemap_get_folio_mpol */
   11.712979 |   2)     dd-127     |   0.125 us    |                                                        folio_mark_accessed();
   11.712979 |   2)     dd-127     |   1.524 us    |                                                      } /* do_read_cache_folio */
   11.712979 |   2)     dd-127     |   1.776 us    |                                                    } /* read_cache_folio */
   11.712980 |   2)     dd-127     |   2.046 us    |                                                  } /* erofs_bread */
   11.712980 |   2)     dd-127     |   2.301 us    |                                                } /* erofs_read_metabuf */
   11.712980 |   2)     dd-127     |   2.585 us    |                                              } /* z_erofs_load_lcluster_from_disk */
   11.712980 |   2)     dd-127     |   0.123 us    |                                              erofs_unmap_metabuf();
   11.712980 |   2)     dd-127     |   3.188 us    |                                            } /* z_erofs_map_blocks_fo */
   11.712980 |   2)     dd-127     |   3.495 us    |                                          } /* z_erofs_map_blocks_iter */
   11.712981 |   2)     dd-127     |   3.760 us    |                                        } /* z_erofs_pcluster_readmore */
   11.712981 |   2)     dd-127     |               |                                        z_erofs_scan_folio() {
   11.712981 |   2)     dd-127     |   0.126 us    |                                          erofs_onlinefolio_init();
   11.712981 |   2)     dd-127     |   0.121 us    |                                          __rcu_read_lock();
   11.712981 |   2)     dd-127     |   0.124 us    |                                          __rcu_read_lock();
   11.712982 |   2)     dd-127     |   0.124 us    |                                          __rcu_read_unlock();
   11.712982 |   2)     dd-127     |   0.126 us    |                                          __rcu_read_unlock();
   11.712982 |   2)     dd-127     |               |                                          kmem_cache_alloc_noprof() {
   11.712982 |   2)     dd-127     |   0.127 us    |                                            preempt_count_add();
   11.712983 |   2)     dd-127     |   0.125 us    |                                            preempt_count_sub();
   11.712983 |   2)     dd-127     |   0.690 us    |                                          } /* kmem_cache_alloc_noprof */
   11.712983 |   2)     dd-127     |   0.121 us    |                                          mutex_init_generic();
   11.712983 |   2)     dd-127     |   0.131 us    |                                          mutex_trylock();
   11.712984 |   2)     dd-127     |               |                                          _raw_spin_lock() {
   11.712984 |   2)     dd-127     |   0.127 us    |                                            preempt_count_add();
   11.712984 |   2)     dd-127     |   0.391 us    |                                          } /* _raw_spin_lock */
   11.712984 |   2)     dd-127     |               |                                          kmem_cache_alloc_lru_noprof() {
   11.712984 |   2)     dd-127     |   0.124 us    |                                            preempt_count_add();
   11.712985 |   2)     dd-127     |               |                                            __pcs_replace_empty_main() {
   11.712985 |   2)     dd-127     |               |                                              barn_replace_empty_sheaf() {
   11.712985 |   2)     dd-127     |               |                                                _raw_spin_lock_irqsave() {
   11.712985 |   2)     dd-127     |   0.124 us    |                                                  preempt_count_add();
   11.712985 |   2)     dd-127     |   0.396 us    |                                                } /* _raw_spin_lock_irqsave */
   11.712985 |   2)     dd-127     |               |                                                _raw_spin_unlock_irqrestore() {
   11.712986 |   2)     dd-127     |   0.123 us    |                                                  preempt_count_sub();
   11.712986 |   2)     dd-127     |   0.422 us    |                                                } /* _raw_spin_unlock_irqrestore */
   11.712986 |   2)     dd-127     |   1.217 us    |                                              } /* barn_replace_empty_sheaf */
   11.712986 |   2)     dd-127     |   1.478 us    |                                            } /* __pcs_replace_empty_main */
   11.712986 |   2)     dd-127     |   0.133 us    |                                            preempt_count_sub();
   11.712987 |   2)     dd-127     |   2.413 us    |                                          } /* kmem_cache_alloc_lru_noprof */
   11.712987 |   2)     dd-127     |               |                                          kmem_cache_alloc_lru_noprof() {
   11.712987 |   2)     dd-127     |   0.128 us    |                                            preempt_count_add();
   11.712987 |   2)     dd-127     |   0.128 us    |                                            preempt_count_sub();
   11.712987 |   2)     dd-127     |   0.662 us    |                                          } /* kmem_cache_alloc_lru_noprof */
   11.712988 |   2)     dd-127     |               |                                          _raw_spin_unlock() {
   11.712988 |   2)     dd-127     |   0.125 us    |                                            preempt_count_sub();
   11.712988 |   2)     dd-127     |   0.484 us    |                                          } /* _raw_spin_unlock */
   11.712988 |   2)     dd-127     |               |                                          __filemap_get_folio_mpol() {
   11.712988 |   2)     dd-127     |               |                                            filemap_get_entry() {
   11.712989 |   2)     dd-127     |   0.122 us    |                                              __rcu_read_lock();
   11.712989 |   2)     dd-127     |   0.123 us    |                                              __rcu_read_unlock();
   11.712989 |   2)     dd-127     |   0.683 us    |                                            } /* filemap_get_entry */
   11.712989 |   2)     dd-127     |   0.944 us    |                                          } /* __filemap_get_folio_mpol */
   11.712989 |   2)     dd-127     |               |                                          filemap_alloc_folio_noprof() {
   11.712989 |   2)     dd-127     |               |                                            folio_alloc_noprof() {
   11.712990 |   2)     dd-127     |               |                                              alloc_pages_mpol() {
   11.712990 |   2)     dd-127     |   0.125 us    |                                                policy_nodemask();
   11.712990 |   2)     dd-127     |               |                                                __alloc_frozen_pages_noprof() {
   11.712990 |   2)     dd-127     |               |                                                  get_page_from_freelist() {
   11.712990 |   2)     dd-127     |   0.127 us    |                                                    preempt_count_add();
   11.712991 |   2)     dd-127     |               |                                                    _raw_spin_trylock() {
   11.712991 |   2)     dd-127     |   0.123 us    |                                                      preempt_count_add();
   11.712991 |   2)     dd-127     |   0.413 us    |                                                    } /* _raw_spin_trylock */
   11.712991 |   2)     dd-127     |               |                                                    _raw_spin_unlock() {
   11.712991 |   2)     dd-127     |   0.134 us    |                                                      preempt_count_sub();
   11.712992 |   2)     dd-127     |   0.410 us    |                                                    } /* _raw_spin_unlock */
   11.712992 |   2)     dd-127     |   0.128 us    |                                                    preempt_count_sub();
   11.712992 |   2)     dd-127     |   1.809 us    |                                                  } /* get_page_from_freelist */
   11.712992 |   2)     dd-127     |   2.093 us    |                                                } /* __alloc_frozen_pages_noprof */
   11.712992 |   2)     dd-127     |   2.619 us    |                                              } /* alloc_pages_mpol */
   11.712992 |   2)     dd-127     |   2.880 us    |                                            } /* folio_alloc_noprof */
   11.712992 |   2)     dd-127     |   3.143 us    |                                          } /* filemap_alloc_folio_noprof */
   11.712993 |   2)     dd-127     |               |                                          _raw_spin_lock() {
   11.712993 |   2)     dd-127     |   0.124 us    |                                            preempt_count_add();
   11.712993 |   2)     dd-127     |   0.386 us    |                                          } /* _raw_spin_lock */
   11.712993 |   2)     dd-127     |               |                                          _raw_spin_unlock() {
   11.712993 |   2)     dd-127     |   0.126 us    |                                            preempt_count_sub();
   11.712994 |   2)     dd-127     |   0.398 us    |                                          } /* _raw_spin_unlock */
   11.712994 |   2)     dd-127     |               |                                          _raw_spin_lock() {
   11.712994 |   2)     dd-127     |   0.125 us    |                                            preempt_count_add();
   11.712994 |   2)     dd-127     |   0.388 us    |                                          } /* _raw_spin_lock */
   11.712994 |   2)     dd-127     |               |                                          _raw_spin_unlock() {
   11.712994 |   2)     dd-127     |   0.126 us    |                                            preempt_count_sub();
   11.712995 |   2)     dd-127     |   0.411 us    |                                          } /* _raw_spin_unlock */
   11.712995 |   2)     dd-127     |   0.126 us    |                                          erofs_onlinefolio_split();
   11.712995 |   2)     dd-127     |   0.125 us    |                                          erofs_onlinefolio_end();
   11.712995 |   2)     dd-127     | + 14.622 us   |                                        } /* z_erofs_scan_folio */
   11.712995 |   2)     dd-127     |   0.124 us    |                                        z_erofs_pcluster_readmore();
   11.712996 |   2)     dd-127     |   0.219 us    |                                        z_erofs_pcluster_end();
   11.712996 |   2)     dd-127     |               |                                        z_erofs_runqueue() {
   11.712996 |   2)     dd-127     |   0.123 us    |                                          __init_swait_queue_head();
   11.712996 |   2)     dd-127     |   0.123 us    |                                          __init_swait_queue_head();
   11.712997 |   2)     dd-127     |   0.129 us    |                                          erofs_map_dev();
   11.712997 |   2)     dd-127     |               |                                          _raw_spin_lock() {
   11.712997 |   2)     dd-127     |   0.126 us    |                                            preempt_count_add();
   11.712997 |   2)     dd-127     |   0.390 us    |                                          } /* _raw_spin_lock */
   11.712998 |   2)     dd-127     |               |                                          _raw_spin_unlock() {
   11.712998 |   2)     dd-127     |   0.126 us    |                                            preempt_count_sub();
   11.712998 |   2)     dd-127     |   0.385 us    |                                          } /* _raw_spin_unlock */
   11.712998 |   2)     dd-127     |               |                                          filemap_add_folio() {
   11.712998 |   2)     dd-127     |               |                                            __filemap_add_folio() {
   11.712998 |   2)     dd-127     |   0.122 us    |                                              shmem_mapping();
   11.712999 |   2)     dd-127     |               |                                              _raw_spin_lock_irq() {
   11.712999 |   2)     dd-127     |   0.125 us    |                                                preempt_count_add();
   11.712999 |   2)     dd-127     |   0.395 us    |                                              } /* _raw_spin_lock_irq */
   11.712999 |   2)     dd-127     |   0.122 us    |                                              workingset_update_node();
   11.712999 |   2)     dd-127     |   0.126 us    |                                              mod_node_page_state();
   11.713000 |   2)     dd-127     |               |                                              _raw_spin_unlock_irq() {
   11.713000 |   2)     dd-127     |   0.124 us    |                                                preempt_count_sub();
   11.713000 |   2)     dd-127     |   0.392 us    |                                              } /* _raw_spin_unlock_irq */
   11.713000 |   2)     dd-127     |   2.076 us    |                                            } /* __filemap_add_folio */
   11.713000 |   2)     dd-127     |               |                                            folio_add_lru() {
   11.713001 |   2)     dd-127     |               |                                              __folio_batch_add_and_move() {
   11.713001 |   2)     dd-127     |   0.124 us    |                                                preempt_count_add();
   11.713001 |   2)     dd-127     |   0.125 us    |                                                preempt_count_sub();
   11.713001 |   2)     dd-127     |   0.654 us    |                                              } /* __folio_batch_add_and_move */
   11.713001 |   2)     dd-127     |   0.907 us    |                                            } /* folio_add_lru */
   11.713001 |   2)     dd-127     |   3.395 us    |                                          } /* filemap_add_folio */
   11.713002 |   2)     dd-127     |               |                                          bio_alloc_bioset() {
   11.713002 |   2)     dd-127     |               |                                            kmem_cache_alloc_noprof() {
   11.713002 |   2)     dd-127     |   0.227 us    |                                              preempt_count_add();
   11.713002 |   2)     dd-127     |   0.126 us    |                                              preempt_count_sub();
   11.713003 |   2)     dd-127     |   0.786 us    |                                            } /* kmem_cache_alloc_noprof */
   11.713003 |   2)     dd-127     |               |                                            kmem_cache_alloc_noprof() {
   11.713003 |   2)     dd-127     |   0.138 us    |                                              preempt_count_add();
   11.713003 |   2)     dd-127     |   0.124 us    |                                              preempt_count_sub();
   11.713003 |   2)     dd-127     |   0.673 us    |                                            } /* kmem_cache_alloc_noprof */
   11.713004 |   2)     dd-127     |               |                                            bio_associate_blkg() {
   11.713004 |   2)     dd-127     |   0.123 us    |                                              __rcu_read_lock();
   11.713004 |   2)     dd-127     |   0.123 us    |                                              kthread_blkcg();
   11.713004 |   2)     dd-127     |   0.124 us    |                                              __rcu_read_unlock();
   11.713004 |   2)     dd-127     |               |                                              bio_associate_blkg_from_css() {
   11.713005 |   2)     dd-127     |   0.124 us    |                                                __rcu_read_lock();
   11.713005 |   2)     dd-127     |   0.135 us    |                                                __rcu_read_unlock();
   11.713005 |   2)     dd-127     |   0.661 us    |                                              } /* bio_associate_blkg_from_css */
   11.713005 |   2)     dd-127     |   1.751 us    |                                            } /* bio_associate_blkg */
   11.713005 |   2)     dd-127     |   3.784 us    |                                          } /* bio_alloc_bioset */
   11.713006 |   2)     dd-127     |               |                                          bio_add_page() {
   11.713006 |   2)     dd-127     |   0.129 us    |                                            __bio_add_page();
   11.713006 |   2)     dd-127     |   0.410 us    |                                          } /* bio_add_page */
   11.713006 |   2)     dd-127     |               |                                          submit_bio() {
   11.713006 |   2)     dd-127     |   0.136 us    |                                            blkcg_set_ioprio();
   11.713007 |   2)     dd-127     |               |                                            submit_bio_noacct() {
   11.713007 |   2)     dd-127     |               |                                              submit_bio_noacct_nocheck() {
   11.713007 |   2)     dd-127     |   0.133 us    |                                                blk_cgroup_bio_start();
   11.713007 |   2)     dd-127     |               |                                                __submit_bio() {
   11.713007 |   2)     dd-127     |               |                                                  blk_mq_submit_bio() {
   11.713007 |   2)     dd-127     |   0.123 us    |                                                    __rcu_read_lock();
   11.713008 |   2)     dd-127     |   0.123 us    |                                                    __rcu_read_unlock();
   11.713008 |   2)     dd-127     |   0.132 us    |                                                    blk_attempt_plug_merge();
   11.713008 |   2)     dd-127     |   0.141 us    |                                                    blk_mq_sched_bio_merge();
   11.713008 |   2)     dd-127     |               |                                                    __blk_mq_alloc_requests() {
   11.713009 |   2)     dd-127     |               |                                                      blk_mq_get_tag() {
   11.713009 |   2)     dd-127     |   0.208 us    |                                                        __blk_mq_get_tag();
   11.713009 |   2)     dd-127     |   0.484 us    |                                                      } /* blk_mq_get_tag */
   11.713009 |   2)     dd-127     |   0.134 us    |                                                      blk_mq_rq_ctx_init.isra.0();
   11.713009 |   2)     dd-127     |   1.028 us    |                                                    } /* __blk_mq_alloc_requests */
   11.713010 |   2)     dd-127     |   0.125 us    |                                                    preempt_count_add();
   11.713010 |   2)     dd-127     |   0.124 us    |                                                    update_io_ticks();
   11.713010 |   2)     dd-127     |   0.127 us    |                                                    preempt_count_sub();
   11.713011 |   2)     dd-127     |   0.125 us    |                                                    blk_add_rq_to_plug();
   11.713011 |   2)     dd-127     |   3.633 us    |                                                  } /* blk_mq_submit_bio */
   11.713011 |   2)     dd-127     |   3.885 us    |                                                } /* __submit_bio */
   11.713011 |   2)     dd-127     |   4.423 us    |                                              } /* submit_bio_noacct_nocheck */
   11.713011 |   2)     dd-127     |   4.685 us    |                                            } /* submit_bio_noacct */
   11.713011 |   2)     dd-127     |   5.253 us    |                                          } /* submit_bio */
   11.713012 |   2)     dd-127     |   0.127 us    |                                          z_erofs_decompress_kickoff();
   11.713012 |   2)     dd-127     |   0.139 us    |                                          z_erofs_decompress_queue();
   11.713012 |   2)     dd-127     |               |                                          wait_for_completion_io() {
   11.713012 |   2)     dd-127     |               |                                            _raw_spin_lock_irq() {
   11.713012 |   2)     dd-127     |   0.151 us    |                                              preempt_count_add();
   11.713013 |   2)     dd-127     |   0.421 us    |                                            } /* _raw_spin_lock_irq */
   11.713013 |   2)     dd-127     |               |                                            _raw_spin_unlock_irq() {
   11.713013 |   2)     dd-127     |   0.125 us    |                                              preempt_count_sub();
   11.713013 |   2)     dd-127     |   0.394 us    |                                            } /* _raw_spin_unlock_irq */
   11.713013 |   2)     dd-127     |               |                                            io_schedule_timeout() {
   11.713013 |   2)     dd-127     |               |                                              __blk_flush_plug() {
   11.713014 |   2)     dd-127     |               |                                                blk_mq_flush_plug_list() {
   11.713014 |   2)     dd-127     |               |                                                  blk_mq_dispatch_list() {
   11.713014 |   2)     dd-127     |   0.123 us    |                                                    __rcu_read_lock();
   11.713014 |   2)     dd-127     |   0.130 us    |                                                    __rcu_read_unlock();
   11.713014 |   2)     dd-127     |               |                                                    _raw_spin_lock() {
   11.713015 |   2)     dd-127     |   0.127 us    |                                                      preempt_count_add();
